id	nombre_titular	apellido_titular	número_cuenta	tipo_cuenta	 saldo_actual 	fecha_ultimo_movimiento	fecha_apertura	sucursal	ciudad_sucursal	Numero días inactivo	Cliente	 Valor UVR FECHA 	 SALDO UVR 	Es reportable?	
32	Benita	Middas	84202769	corriente	" 24,824 "	1/6/2021	3/5/2018	TUPELO	Indianapolis	1635.00	Inactivo	 275 	 90 	Si	
33	Minnie	Malbon	83904563	ahorros	" 35,304 "	8/13/2020	6/13/2016	JASPER	Cabra Figa	1781.00	Inactivo	 275 	 129 	Si	
34	Fabiano	MacFadzan	53112068	ahorros	" 150,611 "	11/19/2021	1/24/2017	MIAMI	Petrodvorets	1318.00	Inactivo	 288 	 523 	No	
35	Walt	Fratson	261170546	corriente	" 123,992 "	8/18/2023	1/7/2018	PITTSBURGH	Changle	681.00	Inactivo	 350 	 354 	No	
36	Fielding	Farish	11301947	corriente	" 129,460 "	6/7/2022	4/2/2016	LEWISTON	Voyskovitsy	1118.00	Inactivo	 307 	 422 	No	
37	Daphene	Fann	111307430	corriente	" 20,526 "	9/6/2020	9/8/2017	BAIRD	Dzuunmod	1757.00	Inactivo	 275 	 75 	Si	
38	Adiana	Folling	53208176	ahorros	" 183,593 "	3/13/2023	8/13/2016	THOMASVILLE	Eger	839.00	Inactivo	 335 	 548 	No	
39	Bobbee	Dahmel	31317788	ahorros	" 57,415 "	1/26/2023	5/5/2016	ORBISONIA	Chignayhua	885.00	Inactivo	 327 	 176 	Si	
40	Cortie	Burles	53112204	ahorros	" 204,048 "	8/28/2024	5/22/2017	N. CHAS	Brooklyn	305.00	Activo	 375 	 544 	No	
41	Shandra	Jekel	11303123	corriente	" 202,287 "	3/2/2023	7/17/2016	LEWISTON	Sinarjaya	850.00	Inactivo	 333 	 608 	No	
42	Cassie	Fideler	65002030	ahorros	" 133,655 "	3/16/2020	12/21/2016	RICHMOND	Hubei	1931.00	Inactivo	 273 	 490 	No	
43	Aileen	Widd	53185079	corriente	" 216,458 "	5/29/2022	7/30/2018	DURHAM	Santos Evos	1127.00	Inactivo	 306 	 708 	No	
44	Carline	Boxill	74905380	ahorros	" 194,632 "	11/8/2022	6/20/2018	DALEVILLE	Norrköping	964.00	Inactivo	 320 	 608 	No	
45	Blithe	Sterzaker	91406121	corriente	" 60,986 "	8/21/2024	11/22/2017	BROOKINGS	Shouchang	312.00	Activo	 375 	 163 	No	
46	Blancha	Minichillo	61212866	ahorros	" 52,100 "	2/6/2024	2/15/2017	ALMA	Uppsala	509.00	Inactivo	 360 	 145 	Si	
47	Celinda	Bradlaugh	121143118	corriente	" 149,673 "	6/11/2023	10/12/2018	PORTLAND	Bošovice	749.00	Inactivo	 347 	 431 	No	
48	Burnard	Addenbrooke	61104204	ahorros	" 58,988 "	1/17/2020	5/19/2017	ZEBULON	Néa Flogitá	1990.00	Inactivo	 271 	 218 	Si	
49	Joaquin	Sadat	125107862	ahorros	" 93,835 "	1/27/2023	1/22/2018	COEUR D'ALENE	Pyu	884.00	Inactivo	 327 	 287 	Si	
50	Lilith	Lutwidge	64208398	ahorros	" 138,139 "	9/3/2020	3/2/2018	MADISONVILLE	Ravne na Koroškem	1760.00	Inactivo	 275 	 503 	No	
51	Marlena	Kellick	322078804	corriente	" 66,528 "	6/30/2022	11/14/2017	DOWNEY	Dzüünharaa	1095.00	Inactivo	 309 	 215 	Si	
52	Anthiathia	Kasman	31309123	corriente	" 59,400 "	7/4/2021	11/27/2017	WILSON	Kradinan	1456.00	Inactivo	 284 	 209 	Si	
53	Emmalynne	Bilverstone	21200559	ahorros	" 212,595 "	7/10/2023	1/27/2018	MINNEAPOLIS	Dalaba	720.00	Inactivo	 349 	 610 	No	
54	Sharleen	Helgass	104913912	corriente	" 35,777 "	4/1/2024	11/22/2017	GRETNA	Cucuyagua	454.00	Inactivo	 366 	 98 	Si	
55	Mimi	Blackie	271989756	corriente	" 40,377 "	12/19/2022	5/21/2017	NORTH CHGO	Rubik	923.00	Inactivo	 323 	 125 	Si	
56	Roxy	Manssuer	111104785	corriente	" 69,978 "	2/23/2025	6/3/2017	RICHMOND	Qulai	126.00	Activo	 380 	 184 	No	
57	Maible	Hammonds	42000398	ahorros	" 101,460 "	5/18/2021	10/1/2017	PITTSBURGH	Soure	1503.00	Inactivo	 280 	 362 	No	
58	Fina	Corke	63104697	ahorros	" 115,289 "	4/22/2020	10/24/2018	RICHMOND	Santa Teresita	1894.00	Inactivo	 275 	 419 	No	
59	Sherlocke	Hallen	21206676	ahorros	" 73,305 "	11/5/2023	3/16/2017	READING	Skelivka	602.00	Inactivo	 355 	 206 	Si	
60	Weidar	Goodburn	102301911	ahorros	" 162,263 "	12/30/2021	2/22/2016	BASIN	Upi	1277.00	Inactivo	 289 	 562 	No	
61	Sib	Barstow	72412435	ahorros	" 114,454 "	7/23/2022	11/11/2017	EAST LANSING	Minas de Marcona	1072.00	Inactivo	 311 	 368 	No	
62	Tito	di Rocca	61108161	ahorros	" 131,375 "	5/2/2022	6/13/2018	LINCOLNTON	Mingguang	1154.00	Inactivo	 303 	 434 	No	
63	Herve	Pickaver	242272489	ahorros	" 84,750 "	3/23/2023	12/3/2016	NEWARK	Bayt L?d	829.00	Inactivo	 337 	 251 	Si	
64	Gene	Nussey	53200019	corriente	" 137,950 "	5/17/2022	4/26/2018	MINNEAPOLIS	Villa Nueva	1139.00	Inactivo	 304 	 453 	No	
65	Dasha	Linne	124100080	corriente	" 65,177 "	4/30/2024	6/14/2016	MINNEAPOLIS	Vinica	425.00	Inactivo	 369 	 177 	Si	
66	Charmain	Scholling	122244582	ahorros	" 82,681 "	11/14/2023	7/7/2017	SPOKANE	Valbo	593.00	Inactivo	 356 	 232 	Si	
67	Shepperd	Leborgne	31310413	corriente	" 187,630 "	1/27/2023	11/21/2018	WILSON	Saniwonorejo	884.00	Inactivo	 327 	 573 	No	
68	Rose	Andor	72401789	corriente	" 68,507 "	9/11/2020	9/10/2018	MIDLAND	Zhongpai	1752.00	Inactivo	 275 	 249 	Si	
69	Katusha	Nana	65301540	corriente	" 206,524 "	6/21/2022	6/8/2017	BRANDON	Lelekovice	1104.00	Inactivo	 308 	 670 	No	
70	Willette	Corwood	75901710	corriente	" 108,880 "	11/10/2020	5/25/2016	NAPERVILLE	Dammarie-les-Lys	1692.00	Inactivo	 275 	 395 	No	
71	Cora	Jonathon	107000440	ahorros	" 95,494 "	12/12/2022	9/9/2017	SANTA FE	Ralevka	930.00	Inactivo	 323 	 296 	Si	
72	Raye	Sergean	107004459	corriente	" 165,196 "	5/3/2024	5/22/2016	LAKEWOOD	Mafra	422.00	Inactivo	 369 	 448 	No	
73	Timmie	McGuigan	62101581	ahorros	" 61,243 "	4/6/2023	6/3/2016	LINDEN	Sindangjati	815.00	Inactivo	 340 	 180 	Si	
74	Hayward	Maskrey	91910879	corriente	" 114,657 "	2/18/2023	8/29/2016	SAINT PETER	Padas	862.00	Inactivo	 330 	 347 	No	
75	Elwira	Goldup	81220524	ahorros	" 188,579 "	11/21/2020	6/28/2017	CAMPBELL HILL	La Luz	1681.00	Inactivo	 275 	 685 	No	
76	Ailee	Boffin	123205054	corriente	" 148,585 "	1/9/2020	7/9/2017	PORTLAND	Cheremshan	1998.00	Inactivo	 271 	 549 	No	
77	Stevana	Reams	101102182	corriente	" 72,350 "	5/30/2020	3/27/2017	GIRARD	Che?miec	1856.00	Inactivo	 276 	 262 	Si	
78	Briano	MacUchadair	122206216	ahorros	" 98,235 "	9/27/2020	11/9/2016	RICHMOND	Beaufort	1736.00	Inactivo	 275 	 358 	No	
79	Lebbie	Boxhill	31309385	ahorros	" 98,507 "	9/29/2021	6/29/2016	HERMITAGE	Esquipulas	1369.00	Inactivo	 286 	 344 	No	
80	Griswold	Spaduzza	281371972	ahorros	" 68,386 "	11/2/2020	2/18/2018	JASPER	Jinxiang	1700.00	Inactivo	 275 	 249 	Si	
81	Ephrayim	Leggitt	54001725	ahorros	" 190,088 "	7/14/2024	11/7/2018	LEWISTON	Lovrenc na Pohorju	350.00	Activo	 374 	 508 	No	
82	Boote	McVey	72413560	ahorros	" 77,933 "	5/19/2020	5/7/2016	BELDING	Foros do Trapo	1867.00	Inactivo	 276 	 282 	Si	
83	Maddy	O'Lochan	67015258	ahorros	" 184,856 "	7/22/2023	11/25/2018	FT.LAUDERDALE	Gap	708.00	Inactivo	 349 	 529 	No	
84	Garvin	Bibbie	101115098	corriente	" 120,631 "	2/7/2021	8/18/2016	PARSONS	Guadalupe	1603.00	Inactivo	 276 	 438 	No	
85	Britni	Hatt	91215927	corriente	" 109,667 "	12/9/2024	3/7/2017	ST. PAUL	Made	202.00	Activo	 376 	 291 	No	
86	Cobby	Hoyt	101903679	corriente	" 95,099 "	11/20/2021	7/7/2017	WARRENSBURG	Bandar-e M?hshahr	1317.00	Inactivo	 288 	 330 	No	
87	Margalit	Lahy	125107532	corriente	" 183,975 "	5/14/2024	5/30/2017	LAKEWOOD	Bieliny	411.00	Inactivo	 370 	 497 	No	
88	Wells	Malec	81206373	ahorros	" 209,642 "	11/19/2023	6/30/2016	PITTSFIELD	Junqueiro	588.00	Inactivo	 356 	 589 	No	
89	Nobe	Kelsell	102002757	ahorros	" 37,514 "	2/14/2025	6/13/2018	ALBANY	Rakhiv	135.00	Activo	 379 	 99 	No	
90	Faun	Dorre	53111836	corriente	" 33,826 "	6/23/2023	9/26/2017	BLUEFIELD	Saint-Augustin	737.00	Inactivo	 348 	 97 	Si	
91	Carter	Tankard	107003023	corriente	" 22,973 "	11/12/2022	1/19/2017	LAKEWOOD	Longxi	960.00	Inactivo	 321 	 72 	Si	
92	Ruthi	Burnard	272471674	ahorros	" 167,304 "	2/28/2021	12/22/2016	RICHMOND	Aylmer	1582.00	Inactivo	 276 	 605 	No	
93	Lindy	Goulden	111909867	corriente	" 22,499 "	1/1/2023	12/13/2018	ENGLEWOOD CLIFFS	Vestmanna	910.00	Inactivo	 324 	 69 	Si	
94	Paulie	MacDougall	73901929	corriente	" 138,121 "	8/15/2023	1/15/2018	ALBIA	Smyków	684.00	Inactivo	 350 	 395 	No	
95	Jemie	Petrello	267090536	ahorros	" 92,657 "	7/2/2024	10/13/2017	RICHMOND	Nossa Senhora de Machede	362.00	Inactivo	 373 	 248 	No	
96	Lea	Semerad	64103228	corriente	" 162,969 "	1/17/2023	10/28/2016	PULASKI	Detroit	894.00	Inactivo	 326 	 500 	No	
97	Corrine	Sukbhans	92900985	corriente	" 60,173 "	4/9/2022	1/22/2018	BIG TIMBER	Quintão	1177.00	Inactivo	 300 	 200 	Si	
98	Carma	Lambal	81225804	corriente	" 27,288 "	4/17/2022	9/1/2016	ALBION	Washington	1169.00	Inactivo	 301 	 91 	Si	
99	Nevins	Scarasbrick	244172095	corriente	" 161,025 "	4/8/2021	6/22/2017	NEWARK	Cerna	1543.00	Inactivo	 278 	 578 	No	
100	Greer	Guite	21309379	ahorros	" 137,000 "	10/5/2023	10/12/2016	TAMPA	Zhusha	633.00	Inactivo	 353 	 388 	No	
101	Daryl	Sturdy	75900148	ahorros	" 113,806 "	12/26/2023	11/27/2018	NAPERVILLE	Touzao	551.00	Inactivo	 358 	 318 	Si	
102	Dino	Klossmann	82901635	corriente	" 180,092 "	7/27/2022	6/14/2016	MAGNOLIA	Wa?cz	1068.00	Inactivo	 311 	 579 	No	
103	Flinn	Cawkwell	31902876	corriente	" 17,964 "	9/6/2020	5/9/2016	WILSON	Maqian	1757.00	Inactivo	 275 	 65 	Si	
104	Gilemette	Sollner	111904998	ahorros	" 87,468 "	2/15/2023	3/29/2018	SULPHUR SPRINGS	Limmared	865.00	Inactivo	 330 	 265 	Si	
105	Elenore	Kyndred	63112906	ahorros	" 198,269 "	6/16/2022	1/2/2016	MOULTRIE	Timba Lauk	1109.00	Inactivo	 308 	 644 	No	
106	Kylila	Worley	21000021	corriente	" 21,271 "	2/27/2023	1/21/2017	TAMPA	Huangbayi	853.00	Inactivo	 332 	 64 	Si	
107	Jillian	Orange	21907315	ahorros	" 87,387 "	12/15/2021	9/17/2017	MONTEBELLO	Zelenogradsk	1292.00	Inactivo	 288 	 304 	Si	
108	Darby	De Pietri	92902271	ahorros	" 76,723 "	5/2/2022	12/12/2018	SHELBY	Wujia	1154.00	Inactivo	 303 	 253 	Si	
109	Ines	Nutton	211170101	ahorros	" 102,342 "	10/12/2023	8/6/2017	NEW BRITAIN	Vatutino	626.00	Inactivo	 354 	 289 	Si	
110	Sigismondo	Edwicke	122038442	ahorros	" 58,070 "	9/4/2024	1/5/2016	ST PAUL	Berlin	298.00	Activo	 376 	 155 	No	
111	Perri	Chapelhow	111313000	ahorros	" 76,435 "	12/28/2023	10/14/2016	SAN ANGELO	Trzcianka	549.00	Inactivo	 358 	 214 	Si	
112	Free	Dillinger	75900986	ahorros	" 120,768 "	4/6/2025	2/14/2017	NAPERVILLEL	Kuilehe	84.00	Activo	 386 	 313 	No	
113	Teodorico	Verzey	62205665	corriente	" 188,917 "	11/7/2023	1/8/2018	PITTSBURGH	Coasa	600.00	Inactivo	 356 	 531 	No	
114	Ransell	Iacavone	44111188	ahorros	" 120,601 "	1/9/2022	12/21/2017	WHEELING	Wewoloe	1267.00	Inactivo	 289 	 417 	No	
115	Krissy	Burnett	82901897	ahorros	" 121,166 "	2/20/2020	12/19/2018	SEARCY	Sukorejo	1956.00	Inactivo	 272 	 446 	No	
116	Orly	Flello	211370590	corriente	" 201,030 "	1/21/2025	12/29/2016	NEW BRITAIN	Neq?b	159.00	Activo	 378 	 532 	No	
117	Allina	Wraighte	63106734	corriente	" 91,134 "	12/20/2024	9/7/2016	MOULTRIE	Mae Hi	191.00	Activo	 376 	 242 	No	
118	Giorgia	Wynter	63114289	ahorros	" 25,461 "	1/30/2022	2/28/2017	WAYNE	Dalang	1246.00	Inactivo	 290 	 88 	Si	
119	Carolee	Hodgin	71112105	ahorros	" 93,006 "	11/11/2021	7/9/2018	CATLIN	Rukem	1326.00	Inactivo	 288 	 323 	No	
120	Thacher	Onge	64103079	ahorros	" 166,284 "	6/14/2022	2/9/2016	BIRMINGHAM	Assis	1111.00	Inactivo	 308 	 540 	No	
121	Emyle	Meugens	113193723	corriente	" 118,858 "	3/24/2024	4/21/2017	TAMPA	Souziqiu	462.00	Inactivo	 365 	 326 	No	
122	Marvin	Francillo	53112673	corriente	" 80,729 "	1/11/2023	6/14/2017	OXFORD	Acas	900.00	Inactivo	 325 	 248 	Si	
123	Christine	Hodgen	322271096	corriente	" 37,500 "	11/5/2021	4/15/2017	ENGLEWOOD CLIFFS	Suqu	1332.00	Inactivo	 287 	 130 	Si	
124	Monica	Storry	322079719	corriente	" 110,935 "	12/12/2023	12/15/2018	HAWTHORNE	Paris 04	565.00	Inactivo	 357 	 311 	Si	
125	Cobbie	Challis	81004591	corriente	" 110,848 "	7/26/2022	12/2/2018	KANSAS CITY	Krzy?anów	1069.00	Inactivo	 311 	 356 	No	
126	Gabi	Meale	122220593	corriente	" 211,811 "	4/9/2025	8/23/2018	SAN DIEGO	Bokaa	81.00	Activo	 386 	 549 	No	
127	Alphonse	Youster	253184359	corriente	" 14,577 "	2/5/2025	6/8/2016	ASHEVILLE	Devon	144.00	Activo	 378 	 39 	No	
128	Farand	Trainer	63115437	ahorros	" 144,846 "	1/22/2024	2/14/2017	WAYNE	Banjar Laing	524.00	Inactivo	 359 	 403 	No	
129	Wilbert	Garrud	11101613	corriente	" 197,692 "	12/18/2022	11/15/2017	NEW BRITAIN	Al Ghand?rah	924.00	Inactivo	 323 	 611 	No	
130	Darb	Leavey	53201607	corriente	" 174,923 "	8/27/2022	3/3/2017	WILSON	Zhujiaqiao	1037.00	Inactivo	 313 	 559 	No	
131	Joyous	Andresen	63115631	corriente	" 61,135 "	2/20/2025	12/21/2016	LEWISTON	Sanj?	129.00	Activo	 380 	 161 	No	
132	Marianne	Lindelof	122242759	corriente	" 77,171 "	6/17/2022	4/21/2017	ONTARIO	Phayakkhaphum Phisai	1108.00	Inactivo	 308 	 250 	Si	
133	Wheeler	Emmanueli	61000146	corriente	" 146,292 "	3/21/2020	2/28/2017	ATLANTA	Itoigawa	1926.00	Inactivo	 273 	 536 	No	
134	Wyatt	Sapsed	111904231	corriente	" 68,896 "	10/11/2024	5/6/2018	SAN SABA	Lisków	261.00	Activo	 376 	 183 	No	
135	Judi	Caddie	62205733	corriente	" 207,499 "	4/26/2021	7/26/2018	TUPELO	Hinthada	1525.00	Inactivo	 279 	 743 	No	
136	Lyndell	Jorn	51504623	corriente	" 28,375 "	1/15/2023	4/3/2017	CHARLESTON	Balas	896.00	Inactivo	 326 	 87 	Si	
137	Ephrayim	Hastewell	313172052	ahorros	" 131,657 "	1/6/2025	2/11/2018	SUGARLAND	Tras Cerros	174.00	Activo	 377 	 349 	No	
138	Alphard	Hewkin	107004695	corriente	" 213,348 "	5/4/2022	11/2/2017	LAKEWOOD	Duantan	1152.00	Inactivo	 303 	 704 	No	
139	Delcine	Aikenhead	101001911	corriente	" 51,784 "	4/28/2020	10/7/2017	RICHMOND	Derbent	1888.00	Inactivo	 275 	 188 	Si	
140	Zonnya	Wotherspoon	323270216	corriente	" 31,685 "	9/11/2024	8/28/2017	PORTLAND	Xinpeicun	291.00	Activo	 376 	 84 	No	
141	Helen-elizabeth	Buessen	253272070	corriente	" 90,356 "	5/7/2024	4/9/2017	N CHAS	Cukanguncal	418.00	Inactivo	 369 	 245 	Si	
142	Mirabella	Merricks	65306079	ahorros	" 192,096 "	1/14/2023	7/20/2016	WAYNESBORO	Fengjia	897.00	Inactivo	 326 	 590 	No	
143	Krishna	Chidley	113009464	ahorros	" 74,082 "	2/13/2021	1/28/2017	SUGAR LAND	Gorgoram	1597.00	Inactivo	 276 	 269 	Si	
144	Zebadiah	Bedle	72412176	ahorros	" 209,419 "	6/21/2021	7/10/2017	CLEVELAND	Sindi	1469.00	Inactivo	 282 	 741 	No	
145	Rad	Speed	52100547	ahorros	" 98,249 "	5/23/2025	4/23/2016	PITTSBURGH	Staritsa	37.00	Activo	 390 	 252 	No	
146	Ermentrude	Penley	103101631	corriente	" 189,186 "	2/20/2024	7/25/2018	PERRY	Puerres	495.00	Inactivo	 361 	 524 	No	
147	Fredrika	Ebben	265470158	corriente	" 215,713 "	3/31/2024	12/20/2018	COVINGTON	Amsterdam-Oost	455.00	Inactivo	 366 	 590 	No	
148	Lian	Pittet	111900510	corriente	" 192,262 "	3/4/2022	8/26/2018	RICHMOND	Koba	1213.00	Inactivo	 294 	 653 	No	
149	Grace	Hintze	53185079	corriente	" 128,915 "	4/6/2023	4/27/2018	DURHAM	Longbo	815.00	Inactivo	 340 	 380 	No	
150	Liuka	Kopelman	11900254	corriente	" 213,884 "	3/15/2022	12/29/2016	RICHMOND	San Diego	1202.00	Inactivo	 296 	 722 	No	
151	Lorie	Torricella	91917681	corriente	" 42,942 "	7/2/2024	10/9/2018	WASECA	Divichibazar	362.00	Inactivo	 373 	 115 	No	
152	Tamarra	Goodfellow	123206817	ahorros	" 142,406 "	5/19/2020	10/18/2017	SPOKANE	Lysá nad Labem	1867.00	Inactivo	 276 	 516 	No	
153	Theodore	Stopp	26002927	corriente	" 41,763 "	10/20/2021	5/23/2016	ROSEMEAD	Mijiang	1348.00	Inactivo	 287 	 146 	Si	
154	Clywd	Frunks	123002011	ahorros	" 169,513 "	1/5/2022	3/8/2016	ALBANY	Totok	1271.00	Inactivo	 289 	 587 	No	
155	Chandra	Mulrean	211174343	ahorros	" 53,494 "	4/4/2022	1/17/2016	NEW BRITAIN	Ifakara	1182.00	Inactivo	 299 	 179 	Si	
156	Johnna	Kurdani	43304239	ahorros	" 79,913 "	1/16/2025	7/16/2017	HERMITAGE	Loznitsa	164.00	Activo	 377 	 212 	No	
157	Kincaid	Lacasa	211272504	ahorros	" 80,005 "	11/30/2020	11/17/2018	ROCKPORT	Meilin	1672.00	Inactivo	 275 	 291 	Si	
158	Stefania	Merlin	84204301	corriente	" 20,834 "	10/21/2021	2/22/2016	BRANDON	Kosti	1347.00	Inactivo	 287 	 73 	Si	
159	Kaitlin	Bisgrove	113110641	corriente	" 129,762 "	8/17/2022	4/4/2016	GANADO	Umeå	1047.00	Inactivo	 312 	 416 	No	
160	Kaye	Alti	111000038	corriente	" 120,636 "	4/4/2020	7/11/2016	MINNEAPOLIS	Budapest	1912.00	Inactivo	 274 	 440 	No	
161	Sharla	Slesser	44102362	corriente	" 111,311 "	1/26/2021	4/24/2016	NEWARK	Lingdong	1615.00	Inactivo	 275 	 404 	No	
162	Yvor	Seed	122240308	corriente	" 139,934 "	12/9/2022	7/1/2017	CARLSBAD	Krajan	933.00	Inactivo	 323 	 434 	No	
163	Gilberto	Gammie	121182014	corriente	" 157,241 "	6/25/2022	9/13/2018	RALEIGH	Oesao	1100.00	Inactivo	 309 	 509 	No	
164	Claudio	Jowsey	11900254	ahorros	" 206,822 "	8/22/2022	12/21/2017	RICHMOND	El Pardo	1042.00	Inactivo	 313 	 661 	No	
165	Siobhan	Jesty	221271090	corriente	" 55,019 "	3/21/2022	8/4/2016	WAYNE	Bicurga	1196.00	Inactivo	 297 	 185 	Si	
166	Friedrick	Gilhouley	53201814	ahorros	" 128,859 "	9/18/2023	9/19/2016	BIRMINGHAM	Santa Magdalena	650.00	Inactivo	 352 	 366 	No	
167	Ariel	Niset	111317637	ahorros	" 58,403 "	6/6/2021	1/17/2018	WINTERS	Wang Nam Yen	1484.00	Inactivo	 281 	 208 	Si	
168	Nelle	Dowden	81905182	ahorros	" 212,096 "	8/1/2023	10/8/2017	PANA	Marcala	698.00	Inactivo	 349 	 607 	No	
169	Silvia	MacGarrity	42102018	corriente	" 56,944 "	11/13/2024	10/5/2016	FRANKFORT	Chafé	228.00	Activo	 377 	 151 	No	
170	Waverly	Toleman	63113772	corriente	" 108,468 "	11/26/2024	7/4/2016	WILMINGTON	Purwodadi	215.00	Activo	 377 	 288 	No	
171	Kayley	Stanbridge	67012413	corriente	" 180,217 "	2/11/2024	4/16/2017	FT LAUDERDALE	Makilala	504.00	Inactivo	 360 	 501 	No	
172	Elonore	Gallehock	62104520	ahorros	" 77,456 "	9/3/2023	3/26/2018	ATMORE	Požarevac	665.00	Inactivo	 351 	 221 	Si	
173	Saul	Perico	101109512	ahorros	" 206,377 "	1/20/2020	3/7/2017	MOUND CITY	Geumpang	1987.00	Inactivo	 271 	 762 	No	
174	Terence	Trematick	101105558	ahorros	" 133,170 "	4/16/2022	9/23/2016	CHANUTE	Zea	1170.00	Inactivo	 301 	 442 	No	
175	Catha	Cluely	104000058	ahorros	" 105,547 "	1/23/2020	9/26/2016	MINNEAPOLIS	Zamo??	1984.00	Inactivo	 271 	 389 	No	
